"Date","Start.time","End.time","Duration","rel..Duration","Project","Breaks","Location","Feeling"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"December 14, 2012","7:48am","7:50am",0.03,0.03,"Meetings",0,201,"-"
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"January 3, 2013","9:00am","9:50am",0.83,0.83,"Meetings",0,251,"Normal"
"January 3, 2013","10:10am","11:29am",1.32,1.32,"Discussion",0,224,"Good"
"January 3, 2013","1:07pm","3:15pm",2.13,2.13,"Experiment",0,218,"Bad"
"January 3, 2013","3:30pm","4:30pm",1,1,"Networking",0,218,"Good"
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"January 7, 2013","9:30am","9:37am",0.12,0.12,"Discussion",0,218,"Good"
"January 7, 2013","9:38am","10:20am",0.7,0.7,"Experiment",0,218,"Bad"
"January 7, 2013","10:20am","10:27am",0.12,0.12,"Discussion",0,218,"Good"
"January 7, 2013","10:41am","11:00am",0.32,0.32,"Experiment",0,218,"Normal"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"January 7, 2013","12:42pm","1:30pm",0.8,0.8,"Experiment",0,218,"Bad"
"January 7, 2013","1:30pm","2:04pm",0.57,0.57,"Busy Bee",0,218,"Good"
"January 8, 2013","9:00am","9:40am",0.67,0.67,"Discussion",0,251,"Good"
"January 8, 2013","10:00am","10:47am",0.78,0.78,"Meetings",0,251,"Good"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"January 8, 2013","1:00pm","1:20pm",0.33,0.33,"Meetings",0,251,"Good"
"January 8, 2013","1:20pm","1:34pm",0.23,0.23,"Networking",0,251,"Good"
"January 8, 2013","1:36pm","3:00pm",1.4,1.4,"Busy Bee",0,251,"-"
"January 9, 2013","8:55am","9:27am",0.53,0.53,"Meetings",0,218,"Good"
"January 9, 2013","9:40am","10:00am",0.33,0.33,"Busy Bee",0,218,"Normal"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"January 9, 2013","1:00pm","2:00pm",1,1,"Discussion",0,251,"Good"
"January 9, 2013","3:20pm","4:47pm",1.45,1.45,"Testing",0,251,"Good"
"January 10, 2013","9:03am","9:53am",0.83,0.83,"Meetings",0,251,"Good"
"January 10, 2013","10:05am","10:59am",0.9,0.9,"Meetings",0,218,"-"
"January 10, 2013","11:00am","11:08am",0.13,0.13,"Discussion",0,218,"Good"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"January 11, 2013","4:02pm","4:16pm",0.23,0.23,"Discussion",0,251,"Good"
"January 15, 2013","9:00am","2:54pm",5.9,5.9,"Experiment",0,218,"-"
"January 16, 2013","9:39am","10:40am",1.02,1.02,"Experiment",0,218,"Bad"
"January 16, 2013","1:35pm","3:29pm",1.9,1.9,"Experiment",0,218,"Normal"
"January 17, 2013","9:29am","11:30am",2.02,2.02,"Experiment",0,218,"Good"
"January 17, 2013","11:31am","12:47pm",1.27,1.27,"Meetings",0,218,"Good"
"January 17, 2013","1:01pm","2:48pm",1.78,1.78,"Experiment",0,218,"Normal"
"January 17, 2013","3:32pm","4:50pm",1.3,1.3,"Experiment",0,218,"-"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"January 21, 2013","9:25am","12:05pm",2.67,2.67,"Experiment",0,218,"Good"
"January 21, 2013","1:15pm","2:45pm",1.5,1.5,"Discussion",0,201,"Good"
"January 22, 2013","8:50am","9:33am",0.72,0.72,"Meetings",0,251,"Good"
"January 22, 2013","9:34am","11:15am",1.68,1.68,"Meetings",0,251,"Good"
"January 22, 2013","12:45pm","2:30pm",1.75,1.75,"Experiment",0,218,"Good"
"January 23, 2013","8:35am","11:47am",3.2,3.2,"Experiment",0,218,"Good"
"January 23, 2013","12:04pm","4:30pm",4.43,4.43,"Experiment",0,218,"Good"
"January 23, 2013","4:30pm","5:10pm",0.67,0.67,"Experiment",0,218,"Good"
"January 24, 2013","9:01am","11:45am",2.73,2.73,"Experiment",0,218,"Good"
"January 24, 2013","12:46pm","2:10pm",1.4,1.4,"Discussion",0,251,"Good"
"January 24, 2013","2:52pm","3:20pm",0.47,0.47,"Experiment",0,251,"Good"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"January 24, 2013","4:00pm","4:30pm",0.5,0.5,"Discussion",0,201,"Good"
"January 25, 2013","9:00am","9:40am",0.67,0.67,"Discussion",0,251,"Good"
"January 25, 2013","9:41am","11:10am",1.48,1.48,"Discussion",0,270,"Good"
"January 25, 2013","2:30pm","3:29pm",0.98,0.98,"Testing",0,251,"Good"
"January 25, 2013","3:30pm","4:45pm",1.25,1.25,"Experiment",0,235,"Good"
"January 28, 2013","9:30am","12:46pm",3.27,3.27,"Testing",0,251,"Good"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"January 31, 2013","7:05am","8:58am",1.88,1.88,"Testing",0,251,"Good"
"January 31, 2013","9:05am","10:03am",0.97,0.97,"Meetings",0,251,"Good"
"February 5, 2013","9:00am","10:00am",1,1,"Meetings",0,251,"Good"
"February 7, 2013","8:30am","10:00am",1.5,1.5,"Meetings",0,251,"Good"
"February 7, 2013","10:01am","12:45pm",2.73,2.73,"Notes",0,251,"Normal"
"February 7, 2013","1:45pm","2:30pm",0.75,0.75,"Experiment",0,251,"Good"
"February 7, 2013","2:33pm","4:00pm",1.45,1.45,"Meetings",0,251,"Good"
"February 7, 2013","4:00pm","5:00pm",1,1,"Experiment",0,251,"Good"
"February 13, 2013","8:08am","11:41am",3.55,3.55,"Experiment",0,201,"Good"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"February 14, 2013","1:00pm","2:06pm",1.1,1.1,"Meetings",0,251,"-"
"February 19, 2013","9:00am","10:30am",1.5,1.5,"Experiment",0,230,"Good"
"February 19, 2013","10:30am","11:30am",1,1,"Discussion",0,230,"Good"
"February 19, 2013","1:02pm","2:45pm",1.72,1.72,"Experiment",0,230,"-"
"February 19, 2013","3:03pm","6:03pm",3,3,"Learning",0,278,"Good"
"February 20, 2013","10:02am","12:03pm",2.02,2.02,"Experiment",0,230,"Good"
"February 20, 2013","1:05pm","3:40pm",2.58,2.58,"Experiment",0,230,"Good"
"February 21, 2013","9:02am","10:04am",1.03,1.03,"Meetings",0,251,"Good"
"February 21, 2013","11:00am","2:01pm",3.02,3.02,"Meetings",0,251,"Good"
"February 25, 2013","9:35am","10:25am",0.83,0.83,"Testing",0,251,"-"
"February 25, 2013","10:25am","11:41am",1.27,1.27,"Meetings",0,251,"Good"
"February 26, 2013","9:20am","10:00am",0.67,0.67,"Experiment",0,230,"-"
"February 26, 2013","10:15am","11:20am",1.08,1.08,"Meetings",0,230,"-"
"February 26, 2013","11:21am","2:36pm",3.25,3.25,"Experiment",0,230,"Good"
