"city","state","btus_pmile_ave","density","lookup","lon","lat"
"Abilene","TX",13574.1,2547.39130434783,"Abilene, TX",-99.7331439,32.4487364
"Abingdon","MD",8664.9,1643.53383458647,"Abingdon, MD",-76.2791236,39.4623305
"Akron","OH",19759.2,1292.61666666667,"Akron, OH",-81.5190053,41.0814447
"Alameda","CA",33022.5,3295.45454545455,"Alameda, CA",-122.2416355,37.7652065
"Albany","GA",17489.1,4448,"Albany, GA",-84.155741,31.5785074
"Albany","NY",15495,451.302840909091,"Albany, NY",-73.7562317,42.6525793
"Albuquerque","NM",7916.16666666667,1657.23425414365,"Albuquerque, NM",-106.609991,35.110703
"Alexandria","LA",14700.35,2148.96428571429,"Alexandria, LA",-92.4451371,31.3112936
"Alexandria","VA",4656.6,1286.62992125984,"Alexandria, VA",-77.0469214,38.8048355
"Allentown","PA",8894.7,3669.81132075472,"Allentown, PA",-75.4901833,40.6084305
"Altoona","PA",27432.9666666667,2784.32,"Altoona, PA",-78.3947359,40.5186809
"Amarillo","TX",16495.35,2361.60810810811,"Amarillo, TX",-101.8312969,35.2219971
"Ames","IA",7748.5,3351.73333333333,"Ames, IA",-93.625622,42.02335
"Anaheim","CA",2866.8,14000,"Anaheim, CA",-117.9145036,33.8352932
"Anchorage","AK",7398.525,3177.54151624549,"Anchorage, AK",-149.9002778,61.2180556
"Anderson","IN",15311.55,1327.42222222222,"Anderson, IN",-85.6802541,40.1053196
"Annapolis","MD",3150.7,900,"Annapolis, MD",-76.4921829,38.9784453
"Ann Arbor","MI",15243.1,2732.21774193548,"Ann Arbor, MI",-83.7430378,42.2808256
"Antioch","CA",9751.7,1200,"Antioch, CA",-121.805789,38.0049214
"Appleton","WI",9027.96666666667,180.46962115797,"Appleton, WI",-88.4153847,44.2619309
"Arcadia","CA",14012.7,5104.81818181818,"Arcadia, CA",-118.0353449,34.1397292
"Arlington","TX",9786.45,2220.26972010178,"Arlington, TX",-97.1080656,32.735687
"Arlington","VA",18679.85,8076.92307692308,"Arlington, VA",-77.1067698,38.8799697
"Arlington Heights","IL",7970.71666666667,1707.08253531559,"Arlington Heights, IL",-87.9806265,42.0883603
"Asheville","NC",8036.9,1617.53333333333,"Asheville, NC",-82.5514869,35.5950581
"Athens","GA",38628.95,2500,"Athens, GA",-83.3833333,33.95
"Atlanta","GA",6560.81428571429,2994.45621657754,"Atlanta, GA",-84.3879824,33.7489954
"Atlantic City","NJ",8107.2,446.20811287478,"Atlantic City, NJ",-74.4229266,39.3642834
"Auburn","CA",9544.775,377.164449818622,"Auburn, CA",-121.0768901,38.8965654
"Auburn","ME",14265.475,54.8680262541022,"Auburn, ME",-70.2311655,44.0978509
"Augusta","GA",20201.65,8400,"Augusta, GA",-82.0105148,33.4734978
"Austin","TX",5724.68333333333,1792.3275862069,"Austin, TX",-97.7430608,30.267153
"Bakersfield","CA",2733.45,4688.37755102041,"Bakersfield, CA",-119.0187125,35.3732921
"Baltimore","MD",8162.32857142857,1157.47465181058,"Baltimore, MD",-76.6121893,39.2903848
"Bangor","ME",3585.85,1913.79310344828,"Bangor, ME",-68.7778138,44.8011821
"Bartow","FL",10528.3333333333,3206.75,"Bartow, FL",-81.8431374,27.8964147
"Batavia","OH",12016.1666666667,393.805309734513,"Batavia, OH",-84.1768795,39.0770072
"Baton Rouge","LA",14193.35,1423.23076923077,"Baton Rouge, LA",-91.1403196,30.4582829
"Battle Creek","MI",15819.5,798.076923076923,"Battle Creek, MI",-85.1797142,42.3211522
"Bay City","MI",13754.1,246.085011185682,"Bay City, MI",-83.8888647,43.5944677
"Beaumont","TX",15918.25,2017.82926829268,"Beaumont, TX",-94.1265562,30.080174
"Bellingham","WA",6957,251.639175257732,"Bellingham, WA",-122.4882249,48.7595529
"Beloit","WI",9546.4,2241.9375,"Beloit, WI",-89.0317765,42.5083482
"Bend","OR",18719.1,2531.09375,"Bend, OR",-121.3153096,44.0581728
"Benton Harbor","MI",15488.55,1764.28571428571,"Benton Harbor, MI",-86.4541894,42.1167065
